SequenceLength,PITName,PurificationName,ProcessStep,Duration_In_Mins
41,1,0,1,31
39,1,0,1,31
33,1,0,1,31
46,1,0,1,31
42,1,0,1,31
35,2,0,0,395
36,2,0,0,395
37,2,0,0,395
27,2,0,0,395
27,2,0,1,6
30,2,0,0,395
38,2,0,0,395
44,2,0,0,395
40,2,0,0,395
47,2,0,0,395
47,2,0,1,6
39,2,0,0,395
29,2,0,0,395
42,2,0,0,395
45,2,0,0,395
32,2,0,0,395
33,2,0,0,395
46,2,0,0,395
31,2,0,0,395
28,2,0,0,395
34,2,0,0,395
23,2,0,0,395
23,2,0,1,6
43,2,0,0,395
41,2,0,0,395
35,1,0,0,395
35,1,0,1,7
40,1,0,0,395
37,1,0,0,395
45,1,0,0,395
31,1,0,0,395
36,1,0,0,395
28,1,0,0,395
26,1,0,0,395
26,1,0,1,7
33,1,0,0,395
38,1,0,0,395
34,1,0,0,395
30,1,0,0,395
29,1,0,0,395
29,1,0,1,7
32,1,0,0,395
43,1,0,0,395
43,1,0,1,7
23,0,0,0,395
45,0,0,0,395
48,0,0,0,395
48,0,0,1,7
34,0,0,0,395
44,0,0,0,395
44,0,0,1,7
46,0,0,0,395
46,0,0,1,7
32,0,0,0,395
35,0,0,0,395
35,0,0,1,7
40,0,0,0,395
41,0,0,0,395
41,0,0,1,7
43,0,0,0,395
43,0,0,1,7
39,0,0,0,395
39,0,0,1,7
36,0,0,0,395
37,0,0,0,395
37,0,0,1,7
42,0,0,0,395
38,0,0,0,395
47,0,0,0,395
28,1,0,0,406
28,1,0,1,31
31,1,0,1,31
30,1,0,1,31
41,1,0,0,400
39,1,0,0,400
46,1,0,0,400
44,1,0,0,400
45,1,0,0,400
36,1,0,0,400
37,1,0,0,400
43,1,0,0,400
48,1,0,0,400
42,1,0,0,400
33,1,0,0,400
40,1,0,0,400
47,1,0,0,400
31,1,0,0,400
34,1,0,0,400
38,1,0,0,400
32,1,0,0,400
29,1,0,0,400
35,1,0,0,400
18,0,0,0,400
30,0,0,0,400
40,0,0,0,400
40,0,0,1,10
21,0,0,0,400
33,0,0,0,400
33,0,0,1,10
28,0,0,0,400
35,0,0,0,400
36,0,0,0,400
37,0,0,0,400
29,0,0,0,400
29,0,0,1,10
45,0,0,0,400
41,0,0,0,400
41,0,0,1,10
46,0,0,0,400
37,0,0,1,10
48,0,0,0,400
48,0,0,1,10
47,0,0,0,400
38,0,0,0,400
38,0,0,1,10
39,0,0,0,400
39,0,0,1,10
21,0,0,1,10
35,0,0,1,10
43,0,0,0,400
43,0,0,1,10
42,0,0,0,400
42,0,0,1,10
26,0,0,0,400
26,0,0,1,10
24,0,0,0,400
24,0,0,1,10
32,0,0,0,400
32,0,0,1,10
36,0,0,1,10
31,0,0,0,400
31,0,0,1,10
34,0,0,0,400
34,0,0,1,10
44,0,0,0,400
44,0,0,1,10
30,0,0,1,10
20,0,0,0,400
20,0,0,1,10
27,0,0,0,400
27,0,0,1,10
47,0,0,1,10
25,0,0,0,400
25,0,0,1,10
22,0,0,0,400
23,0,0,0,400
27,0,0,1,8
28,1,0,0,400
26,1,0,0,400
26,1,0,1,8
40,1,0,1,12
46,1,0,1,12
48,1,0,1,12
30,1,0,0,400
30,1,0,1,12
38,1,0,1,12
45,1,0,1,12
44,1,0,1,12
29,1,0,1,12
47,1,0,1,12
36,1,0,1,12
39,1,0,1,12
32,1,0,1,12
41,1,0,1,12
35,1,0,1,12
37,1,0,1,12
34,1,0,1,12
33,1,0,1,12
22,1,0,0,400
22,1,0,1,8
31,1,0,1,12
43,1,0,1,12
42,1,0,1,12
44,1,0,0,437
37,1,0,0,437
36,1,0,0,437
34,1,0,0,437
43,1,0,0,437
32,1,0,0,437
42,1,0,0,437
30,1,0,0,437
31,1,0,0,437
39,1,0,0,437
33,1,0,0,437
40,1,0,0,437
35,1,0,0,437
38,1,0,0,437
46,1,0,0,437
46,1,0,1,7
41,1,0,0,437
41,1,0,1,7
47,1,0,0,437
48,1,0,0,437
48,1,0,1,7
28,1,0,0,437
45,1,0,0,437
50,1,0,0,437
50,1,0,1,7
62,1,0,0,437
62,1,0,1,8
18,2,0,0,437
18,2,0,1,7
18,2,0,2,16
34,2,0,0,437
